name;frameTime;pcm_loudness_sma;mfcc_sma[0];mfcc_sma[1];mfcc_sma[2];mfcc_sma[3];mfcc_sma[4];mfcc_sma[5];mfcc_sma[6];mfcc_sma[7];mfcc_sma[8];mfcc_sma[9];mfcc_sma[10];mfcc_sma[11];mfcc_sma[12];mfcc_sma[13];mfcc_sma[14];logMelFreqBand_sma[0];logMelFreqBand_sma[1];logMelFreqBand_sma[2];logMelFreqBand_sma[3];logMelFreqBand_sma[4];logMelFreqBand_sma[5];logMelFreqBand_sma[6];logMelFreqBand_sma[7];lspFreq_sma[0];lspFreq_sma[1];lspFreq_sma[2];lspFreq_sma[3];lspFreq_sma[4];lspFreq_sma[5];lspFreq_sma[6];lspFreq_sma[7];F0finEnv_sma;voicingFinalUnclipped_sma;F0final_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma;pcm_loudness_sma_de;mfcc_sma_de[0];mfcc_sma_de[1];mfcc_sma_de[2];mfcc_sma_de[3];mfcc_sma_de[4];mfcc_sma_de[5];mfcc_sma_de[6];mfcc_sma_de[7];mfcc_sma_de[8];mfcc_sma_de[9];mfcc_sma_de[10];mfcc_sma_de[11];mfcc_sma_de[12];mfcc_sma_de[13];mfcc_sma_de[14];logMelFreqBand_sma_de[0];logMelFreqBand_sma_de[1];logMelFreqBand_sma_de[2];logMelFreqBand_sma_de[3];logMelFreqBand_sma_de[4];logMelFreqBand_sma_de[5];logMelFreqBand_sma_de[6];logMelFreqBand_sma_de[7];lspFreq_sma_de[0];lspFreq_sma_de[1];lspFreq_sma_de[2];lspFreq_sma_de[3];lspFreq_sma_de[4];lspFreq_sma_de[5];lspFreq_sma_de[6];lspFreq_sma_de[7];F0finEnv_sma_de;voicingFinalUnclipped_sma_de;F0final_sma_de;jitterLocal_sma_de;jitterDDP_sma_de;shimmerLocal_sma_de
'unknown';0.000000;0;-1.315520e+02;-2.245996e+00;3.787362e-01;1.706929e+00;-8.996704e-01;-1.257825e+00;1.135782e+00;1.137246e+00;-2.164297e+00;6.724722e-01;1.147583e+00;-1.523405e+00;1.199290e+00;-1.254937e+00;1.364364e+00;-2.588552e+01;-2.570198e+01;-2.535989e+01;-2.491798e+01;-2.418894e+01;-2.378606e+01;-2.384169e+01;-2.375783e+01;3.646016e-01;7.353575e-01;1.103017e+00;1.467571e+00;1.723185e+00;1.963860e+00;2.319705e+00;2.701647e+00;2.916438e+01;2.569903e-01;0;0;0;0;0;1.490996e+01;3.943046e-01;-5.092002e-01;-1.637658e+00;-2.718479e+00;-3.616497e+00;-5.328077e+00;-2.162523e+00;-1.535894e+00;-6.671954e-01;9.882134e-01;1.661692e+00;3.131895e+00;2.074378e+00;1.834001e+00;4.018956e+00;4.211123e+00;3.842963e+00;3.775527e+00;3.824674e+00;3.731773e+00;3.713308e+00;3.785256e+00;-3.736219e-02;-2.318748e-02;-3.881574e-03;4.124975e-03;-3.989167e-02;-5.133836e-02;-6.892826e-02;-3.534698e-02;3.358570e+01;1.302404e-01;0;0;0;0
'unknown';0.010000;0;-1.029923e+02;-2.103003e+00;-1.039316e+00;-2.296639e+00;-7.768771e+00;-9.431558e+00;-9.967115e+00;-2.260967e+00;-3.792535e+00;1.156941e-01;2.951985e+00;5.797787e-01;7.697738e+00;2.566222e+00;5.478107e+00;-1.813767e+01;-1.752997e+01;-1.777931e+01;-1.758315e+01;-1.672371e+01;-1.647666e+01;-1.653376e+01;-1.628658e+01;2.656416e-01;7.481273e-01;1.150286e+00;1.557372e+00;1.707092e+00;1.929503e+00;2.282624e+00;2.687458e+00;8.748429e+01;5.146320e-01;2.624263e+02;0;0;0;2.496900e-02;2.453723e+01;1.313596e+00;-1.016303e+00;-2.393613e+00;-3.793391e+00;-5.021503e+00;-8.017113e+00;-3.066105e+00;-3.053686e+00;-1.785955e+00;8.552855e-01;3.648930e+00;5.405798e+00;4.524092e+00;2.235509e+00;6.232419e+00;6.487588e+00;5.850037e+00;5.629282e+00;5.590280e+00;5.379408e+00;5.304183e+00;5.388895e+00;-5.130403e-02;-6.672163e-02;-3.630397e-02;-4.072150e-02;-7.885087e-02;-7.329470e-02;-9.069916e-02;-4.050512e-02;5.525599e+01;1.598049e-01;0;0;0;0
'unknown';0.020000;0;-7.128211e+01;-3.459702e-01;-1.458239e+00;-4.479578e+00;-1.105752e+01;-1.525344e+01;-1.995316e+01;-7.976260e+00;-9.029651e+00;-2.385116e+00;5.186449e+00;5.733462e+00;1.360954e+01;7.206373e+00;8.477498e+00;-9.664669e+00;-8.732369e+00;-9.935369e+00;-9.707765e+00;-8.798180e+00;-8.781888e+00;-8.929118e+00;-8.567169e+00;2.272707e-01;6.130351e-01;1.059975e+00;1.443295e+00;1.531773e+00;1.724347e+00;1.993604e+00;2.532007e+00;1.679329e+02;7.793716e-01;3.217857e+02;0;0;6.143277e-01;4.878948e-02;2.637158e+01;1.394466e+00;-1.472081e+00;-1.491967e+00;-3.064847e+00;-4.406047e+00;-6.523087e+00;-1.733351e+00;-4.367903e+00;-2.663276e+00;-9.827696e-01;4.768023e+00;6.452449e+00;7.291205e+00;9.111377e-01;6.297586e+00;6.513461e+00;5.965772e+00;5.634700e+00;5.580438e+00;5.399800e+00;5.234560e+00;5.257249e+00;-2.936077e-02;-1.028474e-01;-7.878597e-02;-1.046127e-01;-1.091313e-01;-1.016159e-01;-1.277318e-01;-7.134972e-02;6.655086e+01;1.378845e-01;1.618320e+01;0;0;0
'unknown';0.030000;1.248450e-01;-3.900085e+01;3.371969e+00;-3.784293e+00;-7.167883e+00;-1.478770e+01;-1.936753e+01;-2.840531e+01;-9.636526e+00;-1.400005e+01;-6.728508e+00;3.404578e+00;1.309281e+01;2.202316e+01;1.713487e+01;8.985341e+00;-2.833852e+00;-1.748849e+00;-3.821975e+00;-4.376683e+00;-3.932913e+00;-4.391101e+00;-4.777060e+00;-4.408682e+00;1.767469e-01;4.629105e-01;9.430184e-01;1.276101e+00;1.424636e+00;1.717143e+00;2.029260e+00;2.583942e+00;2.360601e+02;7.948243e-01;4.404414e+02;7.646883e-02;4.346319e-02;4.576848e-01;6.251488e-02;1.943853e+01;1.527605e-01;-2.516596e+00;-7.398951e-02;-1.817496e+00;-2.413754e+00;-1.069371e+00;1.914943e+00;-4.572546e+00;-3.114110e+00;-3.646291e+00;4.141294e+00;5.188399e+00;8.467897e+00;-9.324453e-01;3.977399e+00;4.081863e+00;4.081024e+00;3.657804e+00;3.631298e+00;3.641077e+00;3.392555e+00;3.296840e+00;1.453319e-02;-8.833945e-02;-8.607146e-02;-1.210427e-01;-8.644047e-02;-8.151504e-02;-1.037911e-01;-7.649131e-02;5.972622e+01;6.013947e-02;3.000322e+01;0;0;-2.642680e-02
'unknown';0.040000;1.815249e-01;-3.168986e+01;1.988849e+00;-5.609178e+00;-3.317287e+00;-1.271444e+01;-1.832007e+01;-2.226055e+01;-3.841729e+00;-1.890005e+01;-9.221808e+00;-3.992561e+00;1.606020e+01;2.629883e+01;2.791677e+01;4.166436e+00;-2.049504e+00;-1.025236e+00;-2.509703e+00;-3.347717e+00;-2.682149e+00;-2.829833e+00;-3.547236e+00;-3.410528e+00;2.622451e-01;3.637286e-01;8.127211e-01;1.085142e+00;1.318756e+00;1.561961e+00;1.807728e+00;2.396657e+00;2.876308e+02;8.063166e-01;4.423428e+02;6.128123e-02;3.377006e-02;1.650721e-01;5.868228e-02;1.154752e+01;-2.203274e+00;-4.097784e+00;4.971431e-01;-1.441340e+00;-1.321576e+00;3.351022e+00;3.996756e+00;-3.335355e+00;-2.781992e+00;-5.574975e+00;2.678217e+00;2.722975e+00;7.575737e+00;-1.635250e+00;1.576883e+00;1.613154e+00;2.205336e+00;1.814023e+00;1.867321e+00;2.084259e+00;1.868269e+00;1.645709e+00;4.535948e-02;-2.693352e-02;-4.542192e-02;-7.000736e-02;-2.819595e-02;-4.195080e-02;-7.771510e-02;-6.528878e-02;4.643046e+01;-2.326143e-03;1.092808e+01;-1.389261e-03;-6.541417e-04;-4.488071e-02
'unknown';0.050000;2.218120e-01;-2.559577e+01;-2.506610e+00;-1.154683e+01;-3.247732e+00;-1.602779e+01;-1.996701e+01;-1.416027e+01;5.246481e+00;-2.172006e+01;-1.203651e+01;-1.068996e+01;1.612288e+01;2.729509e+01;3.455051e+01;2.971412e+00;-2.058259e+00;-9.742203e-01;-1.087019e+00;-2.474156e+00;-1.625237e+00;-1.247304e+00;-2.261926e+00;-2.380695e+00;3.208203e-01;4.310833e-01;8.435555e-01;1.131234e+00;1.381398e+00;1.603121e+00;1.856607e+00;2.372677e+00;3.262664e+02;8.018568e-01;4.421735e+02;4.451583e-02;2.776379e-02;1.405187e-01;4.796382e-02;5.607202e+00;-3.870051e+00;-4.975418e+00;-5.826757e-02;-7.066737e-01;-8.312380e-01;5.525415e+00;3.377758e+00;-2.404520e+00;-1.138825e+00;-4.222907e+00;1.355648e+00;-1.024107e+00;3.622311e+00;-6.904055e-01;1.122671e-01;1.356899e-01;9.828365e-01;8.788198e-01;9.869249e-01;1.325178e+00;1.167860e+00;9.236563e-01;5.678382e-02;2.753317e-02;2.692997e-03;-1.061827e-02;3.206205e-03;-2.867544e-02;-8.617344e-02;-6.641712e-02;3.374281e+01;-1.802308e-02;-5.219583e-02;-2.373784e-03;-1.293344e-03;-1.457227e-02
'unknown';0.060000;2.449279e-01;-2.024706e+01;-8.423053e+00;-1.806589e+01;-3.953938e+00;-1.764417e+01;-2.156158e+01;-1.032057e+01;4.566015e+00;-2.184642e+01;-1.364108e+01;-1.564116e+01;1.760951e+01;2.458845e+01;3.637724e+01;3.308214e+00;-2.168052e+00;-1.053915e+00;-2.761653e-01;-1.588911e+00;-6.154121e-01;6.751001e-02;-8.453404e-01;-1.352619e+00;3.820314e-01;4.942811e-01;8.825969e-01;1.165691e+00;1.412413e+00;1.571604e+00;1.691355e+00;2.311195e+00;3.549820e+02;7.642246e-01;4.411286e+02;3.813684e-02;1.954327e-02;1.221405e-01;5.913600e-02;4.422102e+00;-3.562081e+00;-4.670596e+00;-1.009438e+00;4.084069e-01;-9.589157e-02;4.574324e+00;1.288055e-01;-1.399610e+00;9.191188e-01;-3.102225e-01;1.158896e+00;-3.911022e+00;2.615404e-01;3.629084e-01;-4.444041e-02;-1.032883e-02;5.859914e-01;7.798859e-01;7.637322e-01;1.037369e+00;9.475525e-01;7.375189e-01;3.828475e-02;5.710207e-02;3.487929e-02;3.392378e-02;2.388332e-02;-5.750179e-04;-2.213250e-02;-7.782936e-04;1.879585e+01;-2.492127e-02;-4.024597e-02;-5.418829e-05;-1.084765e-04;-3.469571e-04
'unknown';0.070000;3.329626e-01;-1.668624e+01;-1.077233e+01;-2.243303e+01;-7.140895e+00;-1.585620e+01;-2.190297e+01;-6.748229e+00;3.048389e+00;-2.454947e+01;-1.021300e+01;-1.188566e+01;1.909639e+01;1.775781e+01;3.101618e+01;5.962424e+00;-2.213243e+00;-1.056060e+00;-2.456083e-02;-8.619866e-01;-3.165663e-02;7.861149e-01;-2.887084e-01;-8.193558e-01;4.007729e-01;5.353001e-01;9.215455e-01;1.182735e+00;1.393839e+00;1.568944e+00;1.656579e+00;2.294587e+00;3.710985e+02;7.257549e-01;4.401612e+02;4.175223e-02;2.212301e-02;1.221299e-01;4.158838e-02;3.637290e+00;-1.741308e+00;-2.570781e+00;-6.774250e-01;3.019969e+00;2.041785e+00;2.866788e+00;-6.545634e-01;-9.545727e-02;3.150801e+00;3.582640e+00;5.371391e-01;-5.586147e+00;-2.074032e+00;-6.325912e-01;3.031781e-02;4.565527e-02;2.530127e-01;6.946539e-01;5.899289e-01;7.056570e-01;5.976588e-01;5.413044e-01;2.388227e-02;5.422801e-02;2.837371e-02;2.460546e-02;1.440115e-02;-5.809247e-03;1.566751e-02;3.314495e-02;3.529114e-01;-1.466540e-02;-1.024586e+01;0;0;0
'unknown';0.080000;4.216296e-01;-1.403411e+01;-1.168869e+01;-2.351906e+01;-6.417893e+00;-1.075820e+01;-1.783155e+01;-3.094953e+00;-2.098655e+00;-2.448340e+01;-5.537968e+00;-4.945826e+00;2.036792e+01;1.151236e+01;3.099163e+01;4.485472e+00;-2.194215e+00;-1.035960e+00;-1.109750e-01;-2.543713e-01;3.397225e-01;1.340304e+00;2.039170e-01;-5.036030e-01;4.136926e-01;5.971306e-01;9.481225e-01;1.229011e+00;1.431952e+00;1.576174e+00;1.797079e+00;2.431810e+00;3.591940e+02;7.197612e-01;0;0;0;0;1.729110e-03;3.552877e+00;3.779893e-01;-8.078735e-01;-3.516383e-02;4.447304e+00;5.516819e+00;1.412607e+00;2.178841e+00;1.712136e+00;3.973878e+00;5.152673e+00;-1.007063e+00;-6.049415e+00;-2.817240e+00;-1.976025e+00;1.877215e-01;1.752402e-01;2.527821e-01;7.079772e-01;5.481405e-01;4.848860e-01;3.342727e-01;4.672765e-01;1.810867e-02;4.884965e-02;1.784939e-02;1.835780e-02;1.445973e-02;2.697551e-03;1.047175e-01;8.821382e-02;-1.914370e+01;8.347720e-03;-1.408065e+01;0;0;0
'unknown';0.090000;3.414030e-01;-1.051580e+01;-9.580329e+00;-2.167415e+01;-5.402880e+00;-4.370931e+00;-1.162310e+01;-3.439137e+00;5.306000e+00;-2.087886e+01;-3.340578e-01;1.875575e+00;1.742937e+01;5.902399e+00;2.687315e+01;-7.801733e-01;-1.893589e+00;-7.549212e-01;9.544984e-02;3.318436e-01;8.468409e-01;1.644584e+00;2.017396e-01;-9.868107e-02;4.244011e-01;6.507986e-01;9.526613e-01;1.222602e+00;1.443634e+00;1.571790e+00;1.882082e+00;2.478094e+00;3.259250e+02;7.507615e-01;1.501664e+02;0;0;0;1.802276e-02;4.035301e+00;1.512671e+00;-6.133154e-01;9.499172e-01;4.053191e+00;8.547262e+00;1.780671e-01;6.174177e+00;4.117284e+00;3.290426e+00;2.897082e+00;-3.679106e+00;-5.230704e+00;-2.866004e+00;-2.727966e+00;3.504446e-01;2.742037e-01;4.940773e-01;7.892041e-01;6.785392e-01;4.385199e-01;3.208614e-01;5.536143e-01;2.038598e-02;4.203521e-02;7.930338e-03;-1.855206e-03;1.214091e-02;-3.171909e-03;1.042783e-01;9.301152e-02;-3.218993e+01;2.494773e-02;-8.800882e+00;0;0;4.804861e-03
